Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link,Used In Blog,Used Slug,Used Title,Used Date,Category
13876496502,CO1102 Emc Fashion Ladies Cut Overrun T-shirt For Women Embroidered Design Pure Cotton Fabric,156,10K+,EMC Fashion,9.5%,₱14.82,https://shopee.ph/product/117354409/13876496502,https://s.shopee.ph/AKURsOa1mK,,,,,Fashion
42750731935,6 For 150 Window Curtain kurtina 85×185cm Elegant Kurtain non ring door curtain soundproo,86,10K+,Home Curtains,9.5%,₱8.17,https://shopee.ph/product/1476993465/42750731935,https://s.shopee.ph/AUns4hZORN,,,,,Home Essentials
10498599220,Card Holder Key Wallet PU Zipper Pouch Korean Creative Pearl Laser Coin Purse Women,49,10K+,WILLET,9.5%,₱4.66,https://shopee.ph/product/49776252/10498599220,https://s.shopee.ph/9zrbTmbISI,yes,budget-bags-daily-carry-ph,"Budget Bags for Daily Carry in the Philippines: Sling, Tote, and Compact Picks",2026-01-24,Bags
24351716048,JNK #BH3100 Large Capacity Nylon Dumpling Crossbody Bag Shoulder Bag with Purse,93,10K+,JNK  ,8.5%,₱7.91,https://shopee.ph/product/34526537/24351716048,https://s.shopee.ph/AAB1g5af7L,,,,,Bags
28623472171,CAMEL CROWN Men's Running Shoes Outdoor Casual Sports Shoes,1.9K,3K+,Cameljeans Store,8.5%,₱161.42,https://shopee.ph/product/391503503/28623472171,https://s.shopee.ph/9fEl5AcZ8G,,,,,Fashion
28551947193,SIV Plastic Dish Cabinet Foldable Dish Drainer Drying Rack Aesthetic With Cover For Plates Bowls,965,10K+,SIV homedeco PH,8.5%,₱82.03,https://shopee.ph/product/165194842/28551947193,https://s.shopee.ph/9pYBHTbvnJ,,,,,Kitchen
24486907596,Hagibis Multi-functional Digital Storage Bag Electronic Storage Bag Travel Cable Storage Bag Portable Cable Organizer Charger Mobile Power Supply Mouse Storage Case,436,1K+,Hagibis Store Philippine,8.5%,₱37.06,https://shopee.ph/product/1291239556/24486907596,https://s.shopee.ph/9KbugYdpoE,,,,,Tech
9761781103,JNK #Q0033 Light Weight Waterproof Chest Bag Cross Body Bag,132,10K+,JNK  ,8.5%,₱11.22,https://shopee.ph/product/34526537/9761781103,https://s.shopee.ph/9UvKsrdCTH,yes,budget-bags-daily-carry-ph,"Budget Bags for Daily Carry in the Philippines: Sling, Tote, and Compact Picks",2026-01-24,Bags
29880785410,Waffle solid color neutral shorts basic simple daily versatile fashion casual clothing,80,5K+,ZR CLOTHING ARTICLES TRADIN,7.5%,₱6.00,https://shopee.ph/product/1211707526/29880785410,https://s.shopee.ph/10wmlF9Yie,,,,,Fashion
29959479667,Metallic Dish Rack Dustproof Kitchen Drain With Cabinet Door Drying Multi-functional Sink Rack,769,10K+,BinBon,8.5%,₱65.37,https://shopee.ph/product/1049940483/29959479667,https://s.shopee.ph/1BGCxY8vNh,,,,,Kitchen
23253112818,Summer sports pants 4-color Korean fashionable trend Loose Casual  pants for men,142,10K+,Leon.Studio,7.5%,₱10.65,https://shopee.ph/product/1043701690/23253112818,https://s.shopee.ph/gJwMdApOc,,,,,Fashion
40368499223,Dr.Isla PP Milk Bottle Anti-Colic BPA FreeStage-Specific Baby Bottle Set 3 Sizes Safe & Durable PP15,179,3K+,Dr.isla Pilipinas,7.5%,₱13.43,https://shopee.ph/product/1521252309/40368499223,https://s.shopee.ph/qdMYwAC3f,,,,,Baby
22770224852,INSPI Chic Twill Shorts for Women with Side Pockets Drawstring Korean Above the Knee Plain Shorts,197,10K+,INSPI,7.5%,₱14.78,https://shopee.ph/product/57235917/22770224852,https://s.shopee.ph/Lh5y1C64a,,,,,Fashion
22046276791,5 Layer Household Multi layer Food Storage Box Anti flies Insulation food keeper-Z264.,162,10K+,XQTPH.MALL,7.5%,₱12.15,https://shopee.ph/product/549183604/22046276791,https://s.shopee.ph/W0WAKBSjd,,,,,Home Essentials
27750855280,Bostanten Ladies Shoulder Bag Leather Crossybody Multi-use Bag For Woman,567,10K+,Bostanten Official Store,6.5%,₱36.86,https://shopee.ph/product/283351053/27750855280,https://s.shopee.ph/14FZPDMkY,yes,budget-bags-daily-carry-ph,"Budget Bags for Daily Carry in the Philippines: Sling, Tote, and Compact Picks",2026-01-24,Bags
41768514012,Dr.Isla Childern's Training Cup 240 & 300ml BPA Free Tritan Leak Proof Cartoon Cup Easy-Clean WC36,439,1K+,Dr.isla Pilipinas,7.5%,₱32.93,https://shopee.ph/product/1521252309/41768514012,https://s.shopee.ph/BNfliCjPb,,,,,Other
27784738359,MIA Shoes For Women Soft Sole Light-Weight Casual Sneakers,193,10K+,MIA SHOES,6.5%,₱12.55,https://shopee.ph/product/224012602/27784738359,https://s.shopee.ph/2LSALh4U12,,,,,Fashion
